Ticker,Shares,Buy_Date,Buy_Price,Category,Conviction
KNDI,10,2021-01-28,9.87,ticktock,2
CCL,1,2021-02-03,20.34,long,3
DAL,1,2021-01-20,40.69,long,4
DVN,4,2021-01-27,16.46,ticktock,1
AG,6,2021-02-01,23.3,long,4
FRCB,5,2023-03-13,24.7,short,4
F ,27,2021-01-11,11.91,long,4
GM,19.01,2021-01-28,53.29,long,4
MOMO,5,2021-01-28,16.37,ticktock,2
HIMX,15,2022-01-28,12.85,ticktock,1
LCID,1,2021-01-21,214.12,ticktock,3
LUMN,4,2021-01-12,10.6,ticktock,2
MZDAY,15,2021-01-29,3.63,long,3
OZSC,1,2021-02-08,48.48,ticktock,3
BITB,14.276,2024-01-11,32.13,ticktock,2
GBTC,2,2024-01-11,37.42,ticktock,2
